tpid,top_parent,mes,modelo,custo_tokens_usd,usuarios_unicos,tokens_input,tokens_output,tokens_cache_criacao,tokens_cache_leitura
5336866,BANCO BTG PACTUAL SA,2026-04,claude opus 4.6,100515.850789,1450.0,4161449912.0,503483686.0,5722723884.0,60659780988.0
5336866,BANCO BTG PACTUAL SA,2026-04,claude sonnet 4.6,59960.08432637999,2068.0,4834709233.0,608418697.0,5178750546.0,55657582739.0
5336866,BANCO BTG PACTUAL SA,2026-04,claude opus 4.7,19003.75988175,568.0,154650604.0,108895314.0,1509806315.0,12143669086.0
5336866,BANCO BTG PACTUAL SA,2026-04,claude sonnet 4.5,10514.2496283,1163.0,915247493.0,87868299.0,1212394504.0,6346677581.0
5336866,BANCO BTG PACTUAL SA,2026-04,gpt 5.4,9623.28780165,1408.0,1765406184.0,139715836.0,0.0,13039136128.0
5336866,BANCO BTG PACTUAL SA,2026-04,gpt 5.3 codex,9296.54586784,1445.0,2531318942.0,135516313.0,0.0,19819962880.0
5336866,BANCO BTG PACTUAL SA,2026-04,claude opus 4.6 fast,5897.8489635000005,67.0,9102604.0,7603849.0,67669951.0,648856777.0
5336866,BANCO BTG PACTUAL SA,2026-04,claude opus 4.5,4455.43824425,262.0,239949869.0,19458499.0,273813203.0,2115787811.0
5336866,BANCO BTG PACTUAL SA,2026-04,claude haiku 4.5,3991.7959213100003,1654.0,602716100.0,188968448.0,1210161601.0,10260768305.0
5336866,BANCO BTG PACTUAL SA,2026-04,gpt 4.1,2214.1469976000003,1964.0,635992353.0,19654980.0,0.0,1599208064.0
5336866,BANCO BTG PACTUAL SA,2026-04,gpt 5.2,1412.1270401,506.0,296953230.0,28411657.0,0.0,2826832512.0
5336866,BANCO BTG PACTUAL SA,2026-04,code review model,1384.1372809999998,501.0,719462095.0,664873619.0,977617921.0,730512497.0
5336866,BANCO BTG PACTUAL SA,2026-04,gpt 5.5,1176.238551,73.0,109633747.0,5875844.0,0.0,903588992.0
5336866,BANCO BTG PACTUAL SA,2026-04,claude sonnet 4,831.368373,98.0,73741350.0,8913728.0,68620296.0,730374310.0
5336866,BANCO BTG PACTUAL SA,2026-04,gemini 3.1 pro,399.88166680000006,111.0,137760874.0,3149796.0,0.0,432811834.0
5336866,BANCO BTG PACTUAL SA,2026-04,gpt 4o mini,272.692079208,2913.0,1080722873.0,22790070.0,0.0,1211701120.0
5336866,BANCO BTG PACTUAL SA,2026-04,gpt 5.2 codex,182.0870772,49.0,59413136.0,2051317.0,0.0,282260864.0
5336866,BANCO BTG PACTUAL SA,2026-04,gpt 5 mini,167.99081834999998,490.0,325109731.0,25785864.0,0.0,1405666304.0
5336866,BANCO BTG PACTUAL SA,2026-04,gpt 4o,160.28046750000001,314.0,29266419.0,1636658.0,0.0,56598272.0
5336866,BANCO BTG PACTUAL SA,2026-04,gpt 5.4 mini,110.43938535,311.0,120917955.0,2091459.0,0.0,137858048.0
5336866,BANCO BTG PACTUAL SA,2026-04,gemini 3 flash,63.29620145,245.0,102754690.0,2858355.0,0.0,66875829.0
5336866,BANCO BTG PACTUAL SA,2026-04,gpt 5.1,41.36258,111.0,17174528.0,1657050.0,0.0,26591360.0
5336866,BANCO BTG PACTUAL SA,2026-04,gemini 2.5 pro,22.76415814,33.0,11264574.0,349381.0,0.0,16740744.0
5336866,BANCO BTG PACTUAL SA,2026-04,grok code fast 1,4.78480738,52.0,16016946.0,384638.0,0.0,50223059.0
5336866,BANCO BTG PACTUAL SA,2026-04,gpt 5.1 codex,1.18425775,4.0,549643.0,38066.0,0.0,932352.0
5336866,BANCO BTG PACTUAL SA,2026-04,gpt 5.1 codex max,0.5252557499999999,3.0,246659.0,9658.0,0.0,481408.0
